Name,iL3,hL3,lL3
SRAE_2000506100,0.99,0.29,2.55
SRAE_2000506000,8.12,3.32,4.80
SRAE_2000505900,15.73,1.34,3.13
SRAE_2000505800,151.68,414.75,447.43
SRAE_2000505700,10.53,3.47,1.11
SRAE_2000505600,0.87,0.86,2.01
SRAE_2000505500,3.30,7.54,22.62
SRAE_2000505400,0.56,3.20,24.23
SRAE_2000505300,0.26,7.96,13.36
SRAE_2000505200,1.11,15.71,27.11
SRAE_2000505100,5.86,33.80,41.26
SRAE_2000505000,15.91,10.66,19.01
SRAE_2000504900,78.56,55.14,89.90
SRAE_2000504800,31.64,44.75,74.15
SRAE_2000504700,22.77,60.19,66.88
SRAE_2000504600,21.25,24.84,16.11
SRAE_2000504500,36.28,6.91,8.40
SRAE_2000504400,5.10,24.25,25.75
SRAE_2000504350,2566.67,1664.79,1237.73
SRAE_2000504300,1.11,0.64,2.72
SRAE_2000504200,221.73,639.60,1828.80
SRAE_2000504100,15.99,60.99,135.35
SRAE_2000504000,33.82,23.10,39.88
SRAE_2000503900,20.94,28.26,23.97
SRAE_2000503800,22.46,0.66,6.93
SRAE_2000503700,27.16,9.74,15.09
SRAE_2000503600,5.35,29.92,44.86
SRAE_2000503500,9.67,3.44,0.45
SRAE_2000503400,8.25,34.66,28.84
SRAE_2000503300,84.35,396.20,719.73
SRAE_2000503200,18.57,42.97,53.55
SRAE_2000503100,25.89,7.43,10.63
SRAE_2000503000,372.93,50.28,92.59
SRAE_2000502900,42.47,54.84,61.52
SRAE_2000502800,0.73,2.40,2.53
SRAE_2000502700,51.24,166.73,214.19
SRAE_2000502600,44.52,51.52,72.61
SRAE_2000502500,31.56,25.67,37.64
SRAE_2000502400,113.49,29.09,39.97
SRAE_2000502300,14.13,6.46,11.12
SRAE_2000502200,374.07,184.49,405.77
SRAE_2000502100,45.13,86.08,103.02
SRAE_2000502000,8.33,3.05,4.28
SRAE_2000501900,13.65,29.46,30.39
SRAE_2000501800,21.88,32.60,22.25
SRAE_2000501700,15.71,4.64,2.71
SRAE_2000501600,77.43,26.40,49.01
SRAE_2000501500,22.74,17.64,29.95
SRAE_2000501400,50.78,6.95,13.57
SRAE_2000501300,31.91,17.81,24.88
SRAE_2000501200,60.43,496.28,1234.14
SRAE_2000501100,4.69,21.06,33.99
SRAE_2000501000,38.91,70.88,106.79
SRAE_2000500900,8.82,6.79,21.56
SRAE_2000500800,21.30,24.19,23.65
SRAE_2000500700,22.58,27.03,26.53
SRAE_2000500600,126.64,380.68,439.60
SRAE_2000500500,8.32,3.75,9.12
SRAE_2000500400,1.28,0.81,1.65
SRAE_2000500300,25.38,73.19,80.52
SRAE_2000500200,17.48,15.19,18.40
SRAE_2000500100,185.97,36.92,44.88
SRAE_2000500000,13.47,234.27,845.77
SRAE_2000499920,0.94,70.77,147.22
SRAE_2000499910,9.94,26.52,91.00
SRAE_2000499820,1.16,56.26,105.07
SRAE_2000499810,16.71,586.56,1549.56
SRAE_2000499710,11.16,16.12,30.35
SRAE_2000499700,3.32,4.11,11.54
SRAE_2000499600,4.31,0.00,0.00
SRAE_2000499500,4.65,39.25,69.98
SRAE_2000499400,7.90,5.44,7.48
SRAE_2000499300,0.95,22.59,72.71
SRAE_2000499210,4.77,2.70,0.00
SRAE_2000499200,14.31,47.67,188.33
SRAE_2000499100,3.70,4.88,28.91
SRAE_2000499000,0.74,12.93,19.29
SRAE_2000498900,0.24,59.71,170.43
SRAE_2000498800,11.14,10.86,59.43
SRAE_2000498700,19.94,870.66,3126.58
SRAE_2000498600,17.58,6.34,15.26
SRAE_2000498500,5.55,3.84,3.85
SRAE_2000498400,6.38,0.00,0.00
SRAE_2000498300,1.15,5.74,5.66
SRAE_2000498200,4.93,11.42,31.81
SRAE_2000498100,70.85,20.14,36.77
SRAE_2000498000,16.85,0.79,18.71
SRAE_2000497900,23.47,23.01,52.34
SRAE_2000497800,93.07,335.29,372.05
SRAE_2000497700,2.78,0.24,0.00
SRAE_2000497600,3.45,2.68,5.98
SRAE_2000497500,1.80,2.38,8.35
SRAE_2000497400,1.07,4.94,13.39
SRAE_2000497300,2.33,3.36,3.93
SRAE_2000497200,0.95,5.03,9.33
SRAE_2000497100,7.35,2.95,4.93
SRAE_2000497000,46.45,52.19,75.33
SRAE_2000496900,34.24,83.16,65.83
SRAE_2000496800,36.46,167.76,181.99
SRAE_2000496700,46.72,51.88,69.35
SRAE_2000496600,11.02,37.36,82.60
SRAE_2000496500,1.76,5.22,1.53
SRAE_2000496400,12.98,10.38,24.29
SRAE_2000496300,55.39,86.94,127.28
SRAE_2000496200,46.38,110.75,209.34
SRAE_2000496100,1085.84,1.64,20.10
SRAE_2000496000,30.47,15.36,16.60
SRAE_2000495900,46.09,165.29,200.53
SRAE_2000495800,12.35,10.69,12.13
SRAE_2000495700,219.09,93.18,283.65
SRAE_2000495600,0.69,17.69,47.77
SRAE_2000495500,0.11,0.42,0.00
SRAE_2000495410,0.53,0.28,1.48
SRAE_2000495300,1.85,0.00,0.00
SRAE_2000495200,0.00,0.00,0.94
SRAE_2000495100,5.66,0.00,0.00
SRAE_2000495000,13.18,0.68,0.00
SRAE_2000494900,9.02,6.19,7.14
SRAE_2000494800,40.36,30.47,48.98
SRAE_2000494700,103.18,69.42,78.66
SRAE_2000494600,20.70,0.51,0.90
SRAE_2000494500,19.30,1.92,2.25
SRAE_2000494400,2.97,0.82,7.96
SRAE_2000494300,5.19,1.32,1.88
SRAE_2000494200,2.50,0.50,1.74
SRAE_2000494100,8.16,0.54,0.00
SRAE_2000494000,1023.67,12.77,18.34
SRAE_2000493900,4.32,0.46,2.42
SRAE_2000493800,131.15,169.90,281.56
SRAE_2000493700,9.89,2.37,18.74
SRAE_2000493600,2.86,33.63,47.02
SRAE_2000493500,39.64,40.42,54.25
SRAE_2000493400,5.68,4.05,9.60
SRAE_2000493300,2.72,2.30,1.01
SRAE_2000493200,4.28,9.14,10.77
SRAE_2000493100,9.53,26.24,30.50
SRAE_2000493000,24.32,136.81,204.74
SRAE_2000492900,21.16,4.76,3.13
SRAE_2000492800,5.74,42.13,38.23
SRAE_2000492700,5.20,22.88,38.75
SRAE_2000492600,0.80,43.51,79.88
SRAE_2000492500,25.36,19.00,16.01
SRAE_2000492400,28.54,8.50,14.69
SRAE_2000492300,22.60,28.47,51.25
SRAE_2000492200,21.92,103.11,180.47
SRAE_2000492100,18.93,49.73,52.32
SRAE_2000492000,2.26,2.84,11.15
SRAE_2000491900,7.02,118.08,250.67
SRAE_2000491800,5.82,55.18,110.67
SRAE_2000491700,13.47,28.96,60.38
SRAE_2000491600,44.42,153.76,185.92
SRAE_2000491500,25.01,20.27,26.82
SRAE_2000491400,8.73,4.30,4.57
SRAE_2000491300,0.34,0.00,3.93
SRAE_2000491200,18.59,22.07,39.19
SRAE_2000491100,0.50,0.33,1.15
SRAE_2000491000,18.24,15.90,37.23
SRAE_2000490900,1.89,4.99,12.67
SRAE_2000490800,34.43,15.14,34.66
SRAE_2000490700,363.95,205.37,405.73
SRAE_2000490600,79.08,196.75,235.27
SRAE_2000490500,1.39,30.35,116.46
SRAE_2000490400,0.56,3.91,15.03
SRAE_2000490300,0.48,152.57,260.72
SRAE_2000490200,0.58,318.54,474.84
SRAE_2000490110,2.64,185.39,454.19
SRAE_2000490000,4.85,399.15,1259.52
SRAE_2000489900,1.69,34.77,66.42
SRAE_2000489800,0.00,4.15,6.48
SRAE_2000489700,3.97,71.86,99.58
SRAE_2000489600,53.81,371.08,461.18
SRAE_2000489500,4.81,13.49,43.19
SRAE_2000489400,2.71,5.35,7.05
SRAE_2000489300,2.99,3.58,25.14
